Date,Day,Rooms Sold,Arrival Rooms,Compliment Rooms,House Use,Individual Confirm,Occupancy %,Room Revenue,ARR,Departure Rooms,OOO Rooms,Pax,Total Room Inventory,snapshot_date,arrival_date,actual_or_forecast
2023-02-06 00:00:00,Monday,101.0,68.0,2.0,3.0,34.0,85.59,1318517.35,13054.63,29.0,12.0,181.0,118.0,2023-02-06,2023-02-06,actual
2023-02-07 00:00:00,Tuesday,115.0,38.0,2.0,3.0,56.0,95.83,1483922.05,12903.67,11.0,10.0,199.0,120.0,2023-02-07,2023-02-07,actual
2023-02-08 00:00:00,Wednesday,115.0,31.0,2.0,2.0,61.0,95.04,1473226.37,12810.66,16.0,9.0,202.0,121.0,2023-02-08,2023-02-08,actual
2023-02-09 00:00:00,Thursday,116.0,38.0,2.0,2.0,59.0,95.87,1507583.27,12996.41,12.0,10.0,214.0,121.0,2023-02-09,2023-02-09,actual
2023-02-10 00:00:00,Friday,114.0,40.0,3.0,2.0,76.0,95.0,1521588.01,13347.26,24.0,10.0,232.0,120.0,2023-02-10,2023-02-10,actual
2023-02-11 00:00:00,Saturday,115.0,42.0,3.0,2.0,70.0,95.83,1519886.5,13216.4,22.0,10.0,225.0,120.0,2023-02-11,2023-02-11,actual
2023-02-12 00:00:00,Sunday,86.0,28.0,5.0,2.0,58.0,71.67,1096850.55,12754.08,22.0,10.0,177.0,120.0,2023-02-12,2023-02-12,actual
2023-02-13 00:00:00,Monday,106.0,49.0,1.0,2.0,59.0,89.08,1416906.08,13367.04,16.0,11.0,202.0,119.0,2023-02-13,2023-02-13,actual
2023-02-14 00:00:00,Tuesday,103.0,47.0,0.0,2.0,63.0,88.79,1354937.79,13154.74,19.0,14.0,201.0,116.0,2023-02-14,2023-02-14,actual
2023-02-15 00:00:00,Wednesday,106.0,46.0,0.0,3.0,73.0,90.6,1436355.73,13550.53,21.0,13.0,208.0,117.0,2023-02-15,2023-02-15,actual
2023-02-16 00:00:00,Thursday,114.0,43.0,4.0,2.0,90.0,95.0,1572756.51,13796.11,13.0,10.0,230.0,120.0,2023-02-16,2023-02-16,actual
2023-02-17 00:00:00,Friday,114.0,44.0,4.0,2.0,80.0,95.0,1593180.4,13975.27,18.0,10.0,237.0,120.0,2023-02-17,2023-02-17,actual
2023-02-18 00:00:00,Saturday,109.0,32.0,4.0,2.0,72.0,91.6,1501066.18,13771.25,17.0,11.0,223.0,119.0,2023-02-18,2023-02-18,actual
2023-02-19 00:00:00,Sunday,111.0,48.0,3.0,2.0,65.0,94.87,1571627.95,14158.81,25.0,13.0,224.0,117.0,2023-02-19,2023-02-19,actual
2023-02-20 00:00:00,Monday,108.0,46.0,1.0,2.0,55.0,93.1,1431118.16,13251.09,23.0,14.0,199.0,116.0,2023-02-20,2023-02-20,actual
2023-02-21 00:00:00,Tuesday,115.0,60.0,3.0,2.0,38.0,95.04,1499692.77,13040.81,30.0,9.0,238.0,121.0,2023-02-21,2023-02-21,actual
2023-02-22 00:00:00,Wednesday,113.0,49.0,3.0,2.0,51.0,95.76,1486502.04,13154.89,6.0,12.0,242.0,118.0,2023-02-22,2023-02-22,actual
2023-02-23 00:00:00,Thursday,115.0,36.0,1.0,2.0,58.0,97.46,1688055.2,14678.74,17.0,12.0,245.0,118.0,2023-02-23,2023-02-23,actual
2023-02-24 00:00:00,Friday,114.0,49.0,0.0,2.0,58.0,98.28,1524191.39,13370.1,23.0,14.0,231.0,116.0,2023-02-24,2023-02-24,actual
2023-02-25 00:00:00,Saturday,114.0,52.0,1.0,2.0,58.0,97.44,1536371.92,13476.95,19.0,13.0,236.0,117.0,2023-02-25,2023-02-25,actual
2023-02-26 00:00:00,Sunday,117.0,41.0,1.0,2.0,63.0,97.5,1529710.87,13074.45,24.0,10.0,227.0,120.0,2023-02-26,2023-02-26,actual
2023-02-27 00:00:00,Monday,118.0,41.0,1.0,2.0,72.0,97.52,1595433.72,13520.62,12.0,9.0,231.0,121.0,2023-02-27,2023-02-27,actual
2023-02-28 00:00:00,Tuesday,115.0,59.0,1.0,2.0,62.0,97.46,1577487.11,13717.28,27.0,13.0,191.0,118.0,2023-02-28,2023-02-28,actual
2023-03-01 00:00:00,Wednesday,115.0,45.0,2.0,2.0,71.0,96.64,1629506.17,14169.62,20.0,11.0,224.0,119.0,2023-03-01,2023-03-01,actual
2023-03-02 00:00:00,Thursday,117.0,60.0,1.0,2.0,83.0,97.5,1601563.21,13688.57,19.0,11.0,224.0,120.0,2023-03-02,2023-03-02,actual
2023-03-03 00:00:00,Friday,112.0,46.0,0.0,3.0,89.0,94.12,1471696.44,13140.15,20.0,11.0,218.0,119.0,2023-03-03,2023-03-03,actual
2023-03-04 00:00:00,Saturday,110.0,58.0,1.0,2.0,65.0,94.83,1393504.12,12668.22,19.0,14.0,223.0,116.0,2023-03-04,2023-03-04,actual
2023-03-05 00:00:00,Sunday,103.0,50.0,1.0,2.0,56.0,88.79,1339803.84,13007.8,22.0,14.0,215.0,116.0,2023-03-05,2023-03-05,actual
2023-03-06 00:00:00,Monday,77.0,26.0,2.0,3.0,53.0,65.81,975229.44,12665.32,17.0,14.0,177.0,117.0,2023-03-06,2023-03-06,actual
2023-03-07 00:00:00,Tuesday,89.0,57.0,0.0,2.0,44.0,76.07,1080528.99,12140.78,26.0,13.0,208.0,117.0,2023-03-07,2023-03-07,actual
2023-03-08 00:00:00,Wednesday,80.0,25.0,0.0,2.0,45.0,69.57,1006950.15,12586.88,16.0,15.0,178.0,115.0,2023-03-08,2023-03-08,actual
2023-03-09 00:00:00,Thursday,105.0,51.0,0.0,2.0,61.0,91.3,1395470.56,13290.2,19.0,15.0,211.0,115.0,2023-03-09,2023-03-09,actual
2023-03-10 00:00:00,Friday,105.0,55.0,2.0,2.0,64.0,90.52,1381181.81,13154.11,23.0,14.0,209.0,116.0,2023-03-10,2023-03-10,actual
2023-03-11 00:00:00,Saturday,116.0,58.0,3.0,2.0,49.0,95.87,1541062.04,13285.02,24.0,9.0,253.0,121.0,2023-03-11,2023-03-11,actual
2023-03-12 00:00:00,Sunday,114.0,58.0,1.0,2.0,77.0,97.44,1548613.7,13584.33,34.0,13.0,218.0,117.0,2023-03-12,2023-03-12,actual
2023-03-13 00:00:00,Monday,117.0,37.0,2.0,2.0,83.0,96.69,1648899.18,14093.16,13.0,9.0,229.0,121.0,2023-03-13,2023-03-13,actual
2023-03-14 00:00:00,Tuesday,118.0,47.0,1.0,2.0,77.0,97.52,1511792.76,12811.8,18.0,10.0,224.0,121.0,2023-03-14,2023-03-14,actual
